Label,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Inbound,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,label_encoded
DDoS,0.022856329,0.08943836,0.025205377,0.06535965,0.27276304,0.20473152,0.09208288,0.22354874,0.046369247,0.22025198,0.15978806,0.103937134,0.09483827,0.75404084,0.9993083,0.07612466,0.13528423,0.06280083,0.24493356,0.2120036,0.16600572,0.1106048,0.27475664,0.12709534,0.21172565,0.061588567,0.23388498,0.09249388,0.15416348,0.24088892,0.049509086,0.16918567,0.101681046,0.16885689,0.020028565,0.2621565,0.28966522,0.21729176,0.05752711,0.053808413,0.15606654,0.23228782,0.17200717,0.0,0.025522592,0.056728777,0.18968461,0.12501755,0.23438486,0.099684656,0.23600823,0.05510404,0.26193714,0.0047334954,0.046133794,0.15033707,0.25786993,0.041830417,0.022583231,0.20934547,0.1650399,0.24446939,0.29548746,0.07400991,0.13146108,0.062140618,0.05325539,0.10028875,0.008427838,0.07026685,0.22776042,0.14848255,0.19753695,0.017490929,0.17909522,0.2496248,0.18425608,0.12717915,2
Web Attack - Brute Force,0.07137499,0.06299912,0.105164185,0.04536415,0.17281015,0.7636829,0.017836198,0.23746163,0.018738,0.041152425,0.1560883,0.030382706,0.047217794,0.109622754,0.22480024,0.014090761,0.08115173,0.16701989,0.013992763,0.070897244,0.13047567,0.12189419,0.101670764,0.19872814,0.18781455,0.11337103,0.17823422,0.19127281,0.04237713,0.106871545,0.126612,0.19000888,0.24037416,0.1736363,0.0037412415,0.013843826,0.0013428294,0.20067815,0.21554731,0.27989966,0.25392127,0.1987077,0.11741599,0.034637615,0.26118457,0.034145262,1.0,0.26136324,0.037802305,0.14699009,0.2750689,0.07729468,0.0019773084,0.11805153,0.07741182,0.112166636,0.26646316,0.052403487,0.2833854,0.14769895,0.2210898,0.2429476,0.19853416,0.038783252,0.10770484,0.022770343,0.09162471,0.058312263,0.18357727,0.20765813,0.008755863,0.017064353,0.17051327,0.28537676,0.12576096,0.07433612,0.16430643,0.07691318,11
DoS Slowhttptest,0.9853446,0.10748566,0.04193564,0.27819684,0.14298475,0.00648546,0.0120551195,0.0396355,0.02815686,0.23496905,0.040403035,0.27672964,0.21655934,0.038593035,0.03651792,0.1514855,0.040964816,0.14246213,0.096743956,0.14428098,0.25850418,0.1169894,0.16460784,0.13752143,0.008653307,0.02613442,0.26389527,0.2441552,0.06895937,0.05165502,0.1680842,0.07581418,0.18843122,0.20891939,0.063176915,0.208747,0.19866163,0.26645455,0.17648613,0.2638463,0.16040657,0.24598545,0.28047225,0.03735407,0.21060783,0.106188685,0.2242942,0.03446409,0.034967512,0.12863019,0.13786124,0.21766959,0.13236271,0.2733708,0.17757666,0.05925569,0.27574143,0.06441833,0.24692848,0.18449831,0.13874461,0.04914073,0.17667982,0.18879913,0.042114418,0.08978537,0.285261,0.024414478,0.20646644,0.10387827,0.077370286,0.10319638,0.05979756,0.21053042,0.23858678,0.11356283,0.024112,0.19485937,5
Web Attack - XSS,0.13240394,0.02154736,0.24132672,0.048681367,0.28463423,0.3481944,0.086162664,0.07023644,0.27377394,0.21441701,0.28448564,0.04807134,0.14505824,0.28772697,0.15550819,0.11360039,0.088945344,0.25771698,0.21525942,0.14557882,0.17933024,0.17577505,0.20994402,0.16138169,0.17148681,0.094236486,0.2886341,0.01279876,0.18411058,0.27566522,0.106684096,0.18774763,0.13975133,0.11687961,0.24858029,0.12858984,0.26857865,0.08748034,0.053907976,0.04689351,0.24591307,0.119344145,0.20657301,0.0107562225,0.11558139,0.205069,1.0,0.035436388,0.19581407,0.06372875,0.26746497,0.065512955,0.18769981,0.2653294,0.09327347,0.06280926,0.058808386,0.22035322,0.12389267,0.24277659,0.16980106,0.10598795,0.29141575,0.15107803,0.25999734,0.2770683,0.14069302,0.20325494,0.25793728,0.17633529,0.18600644,0.06905703,0.26642013,0.22041245,0.09651374,0.07663571,0.16751459,0.0667274,13
DoS Hulk,0.26642507,0.29848802,0.021728296,0.045692824,0.060940936,0.68807346,0.173474,0.09591866,0.08397227,0.14334926,0.08777855,0.12643479,0.008791208,0.8786336,0.006293456,0.19709395,0.29643938,0.24282129,0.29866534,0.08670619,0.24645448,0.040863197,0.24019557,0.09457877,0.29629135,0.036887188,0.05025998,0.049033847,0.11367063,0.1588847,0.036778755,0.10015698,0.21515189,0.17042698,0.06385626,0.19336484,0.03192833,0.20800641,0.26832992,0.028959349,0.00949355,0.076475084,0.19236393,0.2785251,0.1185215,0.1190117,0.2869478,0.025387984,0.22429377,0.27466926,0.13658966,0.033264488,0.2500198,0.2366588,0.12502456,0.2676518,0.1517616,0.0102277845,0.2715338,0.17836356,0.28922915,0.18993615,0.11527788,0.12981161,0.0012494792,0.24102123,0.23546422,0.29943338,0.20212898,0.18730558,0.037710726,0.11626238,0.2931605,0.035448864,0.026402092,0.042068336,0.14536819,0.257165,4
SSH-Patator,0.34149298,0.2619495,0.2688275,0.20723061,0.058288097,0.1622416,0.058751937,0.21176527,0.27088177,0.0940787,0.18881075,0.16120361,0.27105543,0.22529075,0.29918143,0.25931856,0.0063702697,0.016486602,0.22126418,0.17222448,0.12840152,0.087496944,0.071473636,0.03780777,0.22779484,0.05013107,0.04922283,0.0893437,0.084751524,0.2861586,0.083933845,0.29614872,0.048563875,0.18747532,0.2764866,0.03856244,0.29245695,0.046887875,0.27541643,0.055247724,0.07631822,0.1396258,0.20132774,1.0,0.14028426,0.2239149,1.0,0.17141922,0.22050859,0.0678283,0.2715563,0.20972851,0.28956485,0.25352877,0.12608655,0.07797925,0.14054425,0.1252947,0.20519559,0.25218207,0.21139841,0.22352211,0.09095383,0.27732196,0.015984861,0.29918483,0.19479351,0.17513031,0.29725158,0.23546466,0.2932766,0.062894434,0.16154455,0.2549513,0.20198594,0.100495964,0.15411945,0.2043079,10
DoS GoldenEye,0.087219104,0.15886329,0.19048089,0.151185,0.077361174,0.026371863,0.27558798,0.053650774,0.05285452,0.08346257,0.07362346,0.111780144,0.059744876,0.8060401,0.08687251,0.037913226,0.21779574,0.21101083,0.16698037,0.1921243,0.08063931,0.274427,0.042439077,0.108392455,0.046329036,0.10641428,0.0025915247,0.16032329,0.26135018,0.23233622,0.031304512,0.09590128,0.05908233,0.0842285,0.26957145,0.009229907,0.20512994,0.21407887,0.23964663,0.08630668,0.2738823,0.19358319,0.1819583,0.13861465,0.0649992,0.09790775,0.2483592,0.12590834,0.2639561,0.23512144,0.09787407,0.23887718,0.12462403,0.053938072,0.27763298,0.16667123,0.21951465,0.111379445,0.24066782,0.12256296,0.06901196,0.28950635,0.28698424,0.2961488,0.08765218,0.2826914,0.2659696,0.123876154,0.28230903,0.16626701,0.18042982,0.15050149,0.24146348,0.1257847,0.2285519,0.117561564,0.12674755,0.20819977,3
Web Attack - SQLi,0.22043385,0.2579837,0.27013978,0.1879791,0.04717187,0.584977,0.14739448,0.24142066,0.022203216,0.1607272,0.101698965,0.009532482,0.22855219,0.18932007,0.1569498,0.1525357,0.2376558,0.17586356,0.021140037,0.16325834,0.28679654,0.27735227,0.01833326,0.038909335,0.2847144,0.20112641,0.20081271,0.12297314,0.014085149,0.076793246,0.09198388,0.16401325,0.011147468,0.1390422,0.03563549,0.16484928,0.2928637,0.18446557,0.1541328,0.29303908,0.21757707,0.09461637,0.26102856,0.15950473,0.283251,0.06348826,1.0,0.10968587,0.13494334,0.21586272,0.17927212,0.14587379,0.091099404,0.12360209,0.19469307,0.17379338,0.16506739,0.2753224,0.02476699,0.04383682,0.026410367,0.24488801,0.15928853,0.20220706,0.13776323,0.15529832,0.15723328,0.100420356,0.2708709,0.27920014,0.16306114,0.09788126,0.15747741,0.19344959,0.14911814,0.2791248,0.11057956,0.22732654,12
BENIGN,0.61642164,0.057025596,0.2753319,0.09704414,0.27056617,0.27134314,0.10466155,0.0060848356,0.09078742,0.13090007,0.29514244,0.20691505,0.19045447,0.23187122,0.118879065,0.20688835,0.08390131,0.22568934,0.1955512,0.22389652,0.045407433,0.16568583,0.057516,0.09355806,0.23756826,0.12521379,0.014951885,0.26760906,0.03219939,0.14918795,0.14260486,0.1197346,0.0015555453,0.07624615,0.046671882,0.049075525,0.037922204,0.24721451,0.030285435,0.09990695,0.17394936,0.012267209,0.15750875,0.13914171,0.2574262,0.034822248,0.0,0.044141665,0.14288497,0.03149383,0.1847167,0.23802558,0.16665006,0.107531056,0.1340037,0.07273377,0.25562394,0.09705531,0.25758892,0.28977212,0.0767024,0.25737154,0.25093567,0.18340103,0.2501507,0.12765487,0.1808634,0.12171475,0.2996649,0.1595569,0.07117319,0.20104107,0.22741222,0.25840205,0.003806816,0.22418736,0.15917015,0.21794173,0
Web Attack - XSS,0.026693273,0.23250297,0.24868983,0.07862212,0.04144988,0.7205386,0.10676376,0.29492489,0.07815531,0.2517233,0.2116116,0.12069943,0.273185,0.16446167,0.22025582,0.28339544,0.19642794,0.23195048,0.097771496,0.256525,0.25455067,0.092042305,0.018629724,0.007425491,0.07525509,0.06777336,0.06910662,0.22751743,0.13884392,0.089391924,0.17492896,0.103137866,0.14119688,0.16913396,0.12856695,0.2522505,0.104490615,0.098332435,0.13767599,0.16654252,0.20095836,0.13961451,0.016500778,0.15845495,0.010475356,0.03728554,1.0,0.24115433,0.17244384,0.022693152,0.0441031,0.04443548,0.23771355,0.09324094,0.28988895,0.20910256,0.23077193,0.029597906,0.07603577,0.13710229,0.12665951,0.25799137,0.05114419,0.051852167,0.06606707,0.11580779,0.16144319,0.01780321,0.17051058,0.026544692,0.047176093,0.27460077,0.037619032,0.041923415,0.025072668,0.28128004,0.040514838,0.20266247,13
