Label,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Inbound,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate
DoS Hulk,0.724068,0.186199,0.221949,0.246388,0.186504,0.717374,0.189699,0.186199,0.221949,0.246388,0.189699,0.186199,0.221949,0.741374,0.268643,0.201067,0.213450,0.237128,0.192745,0.260845,0.194067,0.221450,0.246128,0.190745,0.260845,0.194067,0.221450,0.246128,0.190745,0.260845,0.000000,0.000000,0.000000,0.000000,0.195067,0.183745,0.264245,0.184067,0.220450,0.245128,0.185745,0.259845,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.261845,0.183067,0.716374,0.261845,0.185745,0.186199,0.246388,0.221949,0.186504,0.261845,0.194067,0.221450,0.246128,0.024456,0.035567,0.046678,0.057789,0.068890,0.079901,0.090012,0.101123,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
PortScan,0.036621,0.048184,0.000000,0.000000,0.000000,0.073426,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.024184,0.036621,0.048184,0.000000,0.036621,0.048184,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.024184,0.000000,0.024184,0.000000,0.000000,0.048184,0.036621,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.036621,0.073426,0.000000,0.000000,0.048184,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.024184,0.024184,0.000000,0.024184,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
DDoS,0.064021,0.192831,0.079431,0.119562,0.088312,0.192831,0.079431,0.119562,0.088312,0.192831,0.079431,0.119562,0.088312,0.931472,0.978431,0.091723,0.141562,0.192831,0.117312,0.063472,0.192831,0.131562,0.083312,0.118472,0.131562,0.192831,0.118472,0.101723,0.183562,0.064021,0.140472,0.124723,0.083312,0.101831,0.138472,0.193831,0.124562,0.034021,0.161472,0.119562,0.066472,0.124562,0.000000,0.000000,0.160472,0.000000,0.000000,0.083312,0.000000,0.000000,0.063472,0.061021,0.148472,0.192831,0.101831,0.192831,0.119562,0.079431,0.088312,0.151472,0.138472,0.086021,0.141562,0.046021,0.066472,0.178472,0.110472,0.079431,0.070472,0.101831,0.086021,0.192831,0.079431,0.119562,0.088312,0.192831,0.079431,0.119562
FTP-Patator,0.403451,0.247321,0.259431,0.270231,0.281431,0.293231,0.247321,0.259431,0.270231,0.281431,0.247321,0.259431,0.270231,0.259431,0.270231,0.281431,0.293231,0.304431,0.316231,0.247321,0.259431,0.270231,0.281431,0.247321,0.259431,0.270231,0.281431,0.247321,0.259431,0.270231,0.281431,0.247321,0.259431,0.270231,0.281431,0.247321,0.259431,0.270231,0.281431,0.247321,0.259431,0.270231,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.247321,0.259431,0.293231,0.247321,0.281431,0.247321,0.270231,0.259431,0.281431,0.247321,0.259431,0.270231,0.281431,0.136321,0.148431,0.159231,0.170431,0.182231,0.193431,0.204231,0.215431,0.025321,0.037431,0.048231,0.059431,0.070231,0.081431,0.093231
SSH-Patator,0.517652,0.328321,0.340431,0.351231,0.362431,0.374231,0.328321,0.340431,0.351231,0.362431,0.328321,0.340431,0.351231,0.340431,0.351231,0.362431,0.374231,0.385431,0.396231,0.328321,0.340431,0.351231,0.362431,0.328321,0.340431,0.351231,0.362431,0.328321,0.340431,0.351231,0.362431,0.328321,0.340431,0.351231,0.362431,0.328321,0.340431,0.351231,0.362431,0.328321,0.340431,0.351231,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.328321,0.340431,0.374231,0.328321,0.362431,0.328321,0.351231,0.340431,0.362431,0.328321,0.340431,0.351231,0.362431,0.227321,0.239431,0.250231,0.261431,0.273231,0.284431,0.295231,0.306431,0.115321,0.127431,0.138231,0.149431,0.160231,0.171431,0.183231
DoS Slowloris,0.861782,0.063782,0.074231,0.085431,0.096231,0.107431,0.063782,0.074231,0.085431,0.096231,0.063782,0.074231,0.085431,0.053431,0.063782,0.074231,0.085431,0.096231,0.107431,0.063782,0.074231,0.085431,0.096231,0.063782,0.074231,0.085431,0.096231,0.063782,0.074231,0.085431,0.096231,0.063782,0.074231,0.085431,0.096231,0.063782,0.074231,0.085431,0.096231,0.063782,0.074231,0.085431,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.063782,0.074231,0.107431,0.063782,0.096231,0.063782,0.085431,0.074231,0.096231,0.063782,0.074231,0.085431,0.096231,0.019782,0.030231,0.041431,0.052231,0.063431,0.074231,0.085031,0.096231,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
DoS Slowhttptest,0.838782,0.082782,0.093231,0.104431,0.115231,0.126431,0.082782,0.093231,0.104431,0.115231,0.082782,0.093231,0.104431,0.071431,0.082782,0.093231,0.104431,0.115231,0.126431,0.082782,0.093231,0.104431,0.115231,0.082782,0.093231,0.104431,0.115231,0.082782,0.093231,0.104431,0.115231,0.082782,0.093231,0.104431,0.115231,0.082782,0.093231,0.104431,0.115231,0.082782,0.093231,0.104431,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.082782,0.093231,0.126431,0.082782,0.115231,0.082782,0.104431,0.093231,0.115231,0.082782,0.093231,0.104431,0.115231,0.027782,0.038231,0.049431,0.060231,0.071431,0.082231,0.093031,0.104231,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
DoS GoldenEye,0.197321,0.254231,0.215431,0.218231,0.144431,0.121231,0.109431,0.102231,0.180431,0.209231,0.111431,0.126231,0.244431,0.748231,0.193431,0.128231,0.235431,0.076231,0.262231,0.221431,0.167231,0.157431,0.202231,0.186431,0.211431,0.058231,0.253431,0.278231,0.104231,0.213431,0.278231,0.212231,0.228231,0.185431,0.242431,0.131231,0.185431,0.218231,0.106431,0.174431,0.253431,0.186431,0.038231,0.131431,0.108231,0.221431,0.000000,0.000000,0.000000,0.000000,0.220231,0.212231,0.121231,0.213431,0.242431,0.254231,0.218231,0.215431,0.144431,0.205231,0.170431,0.131431,0.108231,0.186431,0.253431,0.266231,0.175431,0.085231,0.096431,0.197431,0.208231,0.018231,0.029431,0.040231,0.051431,0.062231,0.073431,0.084231
Bot,0.421782,0.297431,0.314231,0.145431,0.182231,0.227431,0.131231,0.442431,0.308231,0.133431,0.325231,0.167431,0.318231,0.349431,0.136231,0.563431,0.382231,0.351431,0.239231,0.325431,0.311231,0.120431,0.403231,0.390231,0.211231,0.397231,0.280231,0.193231,0.321431,0.077431,0.224231,0.361431,0.287231,0.243231,0.416231,0.377231,0.333231,0.365231,0.275231,0.171231,0.387231,0.254231,0.090231,0.079231,0.336231,0.300231,0.372231,0.254231,0.263231,0.211231,0.377231,0.314231,0.227431,0.203231,0.243231,0.297431,0.145431,0.314231,0.182231,0.249231,0.191231,0.309231,0.277231,0.717231,0.651231,0.705231,0.771231,0.361231,0.197231,0.341231,0.254231,0.090231,0.395231,0.251231,0.310231,0.141231,0.387231,0.361231
Infiltration,0.318231,0.430231,0.441231,0.453231,0.464231,0.476231,0.430231,0.441231,0.453231,0.464231,0.430231,0.441231,0.453231,0.441231,0.453231,0.464231,0.476231,0.487231,0.499231,0.430231,0.441231,0.453231,0.464231,0.430231,0.441231,0.453231,0.464231,0.430231,0.441231,0.453231,0.464231,0.430231,0.441231,0.453231,0.464231,0.430231,0.441231,0.453231,0.464231,0.430231,0.441231,0.453231,0.037231,0.049231,0.061231,0.073231,0.085231,0.000000,0.000000,0.000000,0.430231,0.441231,0.476231,0.430231,0.464231,0.430231,0.453231,0.441231,0.464231,0.430231,0.441231,0.453231,0.464231,0.229231,0.241231,0.253231,0.265231,0.277231,0.289231,0.301231,0.313231,0.118231,0.130231,0.142231,0.154231,0.166231,0.178231,0.190231
