Label,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Inbound,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate
BENIGN,0.556865,0.355067,0.130562,0.127332,0.383541,0.170541,0.221568,0.077938,0.207691,0.357956,0.107109,0.189762,0.218423,0.312774,0.198843,0.354639,0.043026,0.312709,0.172881,0.114252,0.064436,0.337124,0.198667,0.038743,0.207292,0.391856,0.023184,0.179345,0.200517,0.041234,0.327812,0.196043,0.185624,0.276932,0.209451,0.098234,0.154367,0.211893,0.367541,0.198234,0.087654,0.021345,0.176234,0.098234,0.021345,0.154367,1.0,0.087654,0.201345,0.132678,0.198234,0.087654,0.021345,0.265432,0.187654,0.098234,0.154367,0.211893,0.076543,0.154367,0.298234,0.187654,0.210987,0.287654,0.165432,0.198234,0.087654,0.021345,0.154367,0.211893,0.087654,0.298234,0.187654,0.076543,0.154367,0.198234,0.087654,0.265432
BENIGN,0.734521,0.187654,0.234567,0.087654,0.321098,0.234567,0.098765,0.187654,0.143210,0.098765,0.187654,0.276543,0.143210,0.254321,0.165432,0.287654,0.198765,0.143210,0.287654,0.198765,0.143210,0.287654,0.198765,0.098765,0.187654,0.276543,0.143210,0.254321,0.165432,0.287654,0.198765,0.143210,0.287654,0.198765,0.143210,0.287654,0.198765,0.143210,0.254321,0.165432,0.198765,0.143210,0.287654,0.198765,0.143210,0.287654,0.0,0.198765,0.143210,0.254321,0.165432,0.198765,0.143210,0.287654,0.198765,0.143210,0.254321,0.165432,0.198765,0.143210,0.287654,0.198765,0.143210,0.287654,0.198765,0.143210,0.254321,0.165432,0.198765,0.143210,0.287654,0.198765,0.143210,0.287654,0.198765,0.143210,0.254321,0.165432
BENIGN,0.612345,0.298765,0.154321,0.243210,0.187654,0.312345,0.176543,0.265432,0.132101,0.243210,0.187654,0.312345,0.154321,0.187643,0.276532,0.198765,0.143210,0.254321,0.198765,0.176543,0.265432,0.132101,0.243210,0.187654,0.312345,0.154321,0.265432,0.132101,0.243210,0.187654,0.312345,0.154321,0.265432,0.132101,0.243210,0.187654,0.312345,0.154321,0.265432,0.132101,0.243210,0.187654,0.312345,0.154321,0.265432,0.132101,1.0,0.187654,0.312345,0.154321,0.265432,0.132101,0.243210,0.187654,0.312345,0.154321,0.265432,0.132101,0.243210,0.187654,0.312345,0.154321,0.265432,0.132101,0.243210,0.187654,0.312345,0.154321,0.265432,0.132101,0.243210,0.187654,0.312345,0.154321,0.265432,0.132101,0.243210,0.187654
BENIGN,0.823456,0.143210,0.287654,0.198765,0.143210,0.198765,0.143210,0.287654,0.198765,0.143210,0.287654,0.198765,0.143210,0.387654,0.254321,0.165432,0.287654,0.198765,0.143210,0.287654,0.198765,0.143210,0.254321,0.165432,0.198765,0.143210,0.287654,0.198765,0.143210,0.287654,0.198765,0.143210,0.254321,0.165432,0.198765,0.143210,0.287654,0.198765,0.143210,0.254321,0.165432,0.198765,0.143210,0.287654,0.198765,0.143210,0.0,0.198765,0.143210,0.254321,0.165432,0.198765,0.143210,0.287654,0.198765,0.143210,0.254321,0.165432,0.198765,0.143210,0.287654,0.198765,0.143210,0.287654,0.198765,0.143210,0.254321,0.165432,0.198765,0.143210,0.287654,0.198765,0.143210,0.287654,0.198765,0.143210,0.254321,0.165432
BENIGN,0.567890,0.234567,0.345678,0.123456,0.234567,0.345678,0.123456,0.234567,0.112233,0.345678,0.123456,0.234567,0.112233,0.245678,0.334567,0.223456,0.112345,0.223456,0.334567,0.223456,0.112345,0.334567,0.223456,0.112345,0.334567,0.223456,0.112345,0.334567,0.223456,0.112345,0.334567,0.223456,0.112345,0.334567,0.223456,0.112345,0.334567,0.223456,0.334567,0.223456,0.112345,0.334567,0.112345,0.334567,0.223456,0.112345,1.0,0.223456,0.112345,0.334567,0.223456,0.112345,0.334567,0.223456,0.112345,0.334567,0.223456,0.112345,0.334567,0.223456,0.112345,0.334567,0.223456,0.112345,0.334567,0.223456,0.112345,0.334567,0.223456,0.112345,0.334567,0.223456,0.112345,0.334567,0.223456,0.112345,0.334567,0.223456
BENIGN,0.698765,0.165432,0.276543,0.354321,0.165432,0.276543,0.354321,0.165432,0.243210,0.276543,0.354321,0.165432,0.243210,0.176543,0.265432,0.354321,0.165432,0.276543,0.354321,0.165432,0.243210,0.276543,0.354321,0.165432,0.243210,0.276543,0.354321,0.165432,0.243210,0.276543,0.354321,0.165432,0.243210,0.276543,0.354321,0.165432,0.243210,0.276543,0.354321,0.165432,0.243210,0.276543,0.354321,0.165432,0.243210,0.276543,0.0,0.354321,0.165432,0.243210,0.276543,0.354321,0.165432,0.243210,0.276543,0.354321,0.165432,0.243210,0.276543,0.354321,0.165432,0.243210,0.276543,0.354321,0.165432,0.243210,0.276543,0.354321,0.165432,0.243210,0.276543,0.354321,0.165432,0.243210,0.276543,0.354321,0.165432,0.243210
BENIGN,0.445678,0.321098,0.210987,0.187654,0.298765,0.210987,0.187654,0.298765,0.165432,0.210987,0.187654,0.298765,0.165432,0.298765,0.187654,0.210987,0.298765,0.187654,0.210987,0.298765,0.187654,0.210987,0.298765,0.187654,0.210987,0.298765,0.187654,0.210987,0.298765,0.187654,0.210987,0.298765,0.187654,0.210987,0.298765,0.187654,0.210987,0.298765,0.210987,0.298765,0.187654,0.210987,0.187654,0.210987,0.298765,0.187654,1.0,0.210987,0.187654,0.298765,0.210987,0.187654,0.298765,0.210987,0.187654,0.298765,0.210987,0.187654,0.298765,0.210987,0.187654,0.298765,0.210987,0.187654,0.298765,0.210987,0.187654,0.298765,0.210987,0.187654,0.298765,0.210987,0.187654,0.298765,0.210987,0.187654,0.298765,0.210987
BENIGN,0.789012,0.112233,0.365478,0.254369,0.112233,0.254369,0.112233,0.365478,0.254369,0.112233,0.365478,0.254369,0.112233,0.365478,0.112233,0.254369,0.365478,0.254369,0.112233,0.365478,0.254369,0.112233,0.365478,0.254369,0.112233,0.365478,0.254369,0.112233,0.365478,0.254369,0.112233,0.365478,0.254369,0.112233,0.365478,0.254369,0.112233,0.365478,0.365478,0.254369,0.112233,0.365478,0.254369,0.365478,0.254369,0.112233,0.0,0.254369,0.112233,0.365478,0.254369,0.112233,0.365478,0.254369,0.112233,0.365478,0.254369,0.112233,0.365478,0.254369,0.112233,0.365478,0.254369,0.112233,0.365478,0.254369,0.112233,0.365478,0.254369,0.112233,0.365478,0.254369,0.112233,0.365478,0.254369,0.112233,0.365478,0.254369
BENIGN,0.512345,0.276543,0.198765,0.312345,0.276543,0.165432,0.312345,0.198765,0.187654,0.312345,0.198765,0.165432,0.276543,0.312345,0.165432,0.276543,0.198765,0.165432,0.276543,0.312345,0.165432,0.276543,0.198765,0.165432,0.276543,0.312345,0.165432,0.276543,0.198765,0.165432,0.276543,0.312345,0.165432,0.276543,0.198765,0.165432,0.276543,0.312345,0.312345,0.198765,0.165432,0.276543,0.165432,0.276543,0.312345,0.165432,1.0,0.312345,0.165432,0.276543,0.312345,0.165432,0.276543,0.312345,0.165432,0.276543,0.312345,0.165432,0.276543,0.312345,0.165432,0.276543,0.312345,0.165432,0.276543,0.312345,0.165432,0.276543,0.312345,0.165432,0.276543,0.312345,0.165432,0.276543,0.312345,0.165432,0.276543,0.312345
BENIGN,0.645321,0.198765,0.287654,0.165432,0.354321,0.198765,0.143210,0.354321,0.198765,0.143210,0.354321,0.198765,0.143210,0.354321,0.198765,0.143210,0.354321,0.198765,0.143210,0.354321,0.198765,0.143210,0.354321,0.198765,0.143210,0.354321,0.198765,0.143210,0.354321,0.198765,0.143210,0.354321,0.198765,0.143210,0.354321,0.198765,0.143210,0.354321,0.354321,0.198765,0.143210,0.354321,0.143210,0.354321,0.198765,0.143210,0.0,0.354321,0.143210,0.354321,0.198765,0.143210,0.354321,0.198765,0.143210,0.354321,0.198765,0.143210,0.354321,0.198765,0.143210,0.354321,0.198765,0.143210,0.354321,0.198765,0.143210,0.354321,0.198765,0.143210,0.354321,0.198765,0.143210,0.354321,0.198765,0.143210,0.354321,0.198765
